measure,method,bank,final_width_norm,mean_width_norm,final_width_original,mean_width_original,width_norm_5,width_original_5,width_norm_10,width_original_10,width_norm_20,width_original_20,width_norm_30,width_original_30
orientation_error_geodesic,e_value_constant_0.25,none,0.9,0.956,0.18000000000000002,0.1912,0.96,0.192,0.96,0.192,0.96,0.192,0.9,0.18000000000000002
orientation_error_geodesic,e_value_constant_0.5,none,0.5800000000000001,0.8413333333333334,0.11600000000000002,0.16826666666666665,0.96,0.192,0.96,0.192,0.78,0.15600000000000003,0.5800000000000001,0.11600000000000002
orientation_error_geodesic,e_value_wsr,none,0.37999999999999995,0.6673333333333333,0.076,0.13346666666666668,0.96,0.192,0.76,0.15200000000000002,0.54,0.10800000000000001,0.37999999999999995,0.076
orientation_error_geodesic,empirical_bernstein,none,0.7951401046539621,0.9550043150234189,0.15902802093079244,0.19100086300468372,1.0,0.2,1.0,0.2,0.9873478917748297,0.19746957835496595,0.7951401046539621,0.15902802093079244
orientation_error_geodesic,hoeffding,none,0.4959085570353964,0.7286517156403399,0.09918171140707928,0.145730343128068,0.9862772885907334,0.19725545771814668,0.848803882923068,0.1697607765846136,0.6073614619083051,0.12147229238166102,0.4959085570353964,0.09918171140707928
orientation_error_geodesic,sequential_t_test,none,0.4487514824240935,0.7219487828576808,0.0897502964848187,0.14438975657153613,1.0,0.2,0.9056752090887422,0.18113504181774845,0.579131324791895,0.115826264958379,0.4487514824240935,0.0897502964848187
orientation_error_geodesic,sim2real,Sim_10080,0.2799999999999999,0.5149270833333334,0.05599999999999999,0.10298541666666668,0.7740625,0.15481250000000002,0.6050000000000002,0.12100000000000005,0.3581250000000001,0.07162500000000002,0.2799999999999999,0.05599999999999999
orientation_error_geodesic,sim2real,Sim_252,0.2750000000000001,0.5110625,0.05500000000000002,0.10221250000000003,0.8353124999999999,0.1670625,0.5574999999999999,0.11149999999999999,0.3499999999999999,0.06999999999999999,0.2750000000000001,0.05500000000000002
orientation_error_geodesic,sim2real,Sim_35,0.30000000000000004,0.5553333333333333,0.06000000000000001,0.11106666666666669,0.84,0.168,0.66,0.132,0.39999999999999997,0.08,0.30000000000000004,0.06000000000000001
orientation_error_geodesic,sim2real,Sim_756,0.2750000000000001,0.5087083333333334,0.05500000000000002,0.10174166666666667,0.8815625,0.1763125,0.5425,0.1085,0.3506249999999999,0.07012499999999998,0.2750000000000001,0.05500000000000002
orientation_error_geodesic,sim2real,Sim_7_biased,0.3,0.5186666666666667,0.06,0.10373333333333337,0.96,0.192,0.54,0.10800000000000001,0.36000000000000004,0.07200000000000001,0.3,0.06
orientation_error_geodesic,t_test,none,0.19405545547533387,0.4195575440813698,0.03881109109506678,0.08391150881627395,0.8272047672613534,0.1654409534522707,0.4102882829233988,0.08205765658467977,0.2514911857671983,0.050298237153439666,0.19405545547533387,0.03881109109506678
orientation_error_geodesic,vincent,gap_0.05,0.4298967695078464,0.6044828192180596,0.08597935390156929,0.12089656384361194,0.7774693000620896,0.15549386001241794,0.6441546913589702,0.12883093827179404,0.49559629468520894,0.0991192589370418,0.4298967695078464,0.08597935390156929
orientation_error_geodesic,vincent,gap_0.1,0.48753062890000354,0.65251255466597,0.09750612578000072,0.13050251093319404,0.8181268439495766,0.16362536878991532,0.6941282724147877,0.13882565448295756,0.5515673551330965,0.11031347102661931,0.48753062890000354,0.09750612578000072
orientation_error_geodesic,vincent,gap_0.2,0.5971393734138914,0.7428360204244389,0.1194278746827783,0.14856720408488772,0.8973775522479785,0.17947551044959573,0.7895127438849884,0.1579025487769977,0.6569024915974411,0.13138049831948823,0.5971393734138914,0.1194278746827783
orientation_error_geodesic,z_test,none,0.18596528032840431,0.3640602525344663,0.037193056065680866,0.07281205050689327,0.6329173780943271,0.12658347561886543,0.35547939420542984,0.07109587884108597,0.2355031063760693,0.04710062127521386,0.18596528032840431,0.037193056065680866
pos_error_l2,e_value_constant_0.25,none,0.74,0.9239999999999999,0.074,0.0924,0.96,0.096,0.96,0.096,0.96,0.096,0.74,0.074
pos_error_l2,e_value_constant_0.5,none,0.48,0.7606666666666666,0.048,0.07606666666666666,0.96,0.096,0.96,0.096,0.64,0.064,0.48,0.048
pos_error_l2,e_value_wsr,none,0.22000000000000003,0.468,0.022000000000000006,0.0468,0.96,0.096,0.45999999999999996,0.046,0.28,0.028000000000000004,0.22000000000000003,0.022000000000000006
pos_error_l2,empirical_bernstein,none,0.613364528029432,0.8698194890466958,0.0613364528029432,0.08698194890466955,1.0,0.1,1.0,0.1,0.7974195082272049,0.0797419508227205,0.613364528029432,0.0613364528029432
pos_error_l2,hoeffding,none,0.4773772235184489,0.6304660132345217,0.0477377223518449,0.06304660132345218,0.805879507992795,0.0805879507992795,0.6497515519034085,0.06497515519034085,0.5350287731536729,0.05350287731536729,0.4773772235184489,0.0477377223518449
