measure,method,bank,n,mean_norm,lower_norm,upper_norm,width_norm,width_original
pos_error_l2,sim2real,Sim_252,23,0.22991322748019966,0.14125000000000001,0.35687499999999994,0.21562499999999993,0.021562499999999995
pos_error_l2,sim2real,Sim_252,24,0.22217469968176437,0.14125000000000001,0.3475,0.20624999999999996,0.020624999999999998
pos_error_l2,sim2real,Sim_252,25,0.22384431646385003,0.14125000000000001,0.344375,0.20312499999999997,0.020312499999999997
pos_error_l2,sim2real,Sim_252,26,0.23304648577672255,0.148125,0.344375,0.19624999999999998,0.019625
pos_error_l2,sim2real,Sim_252,27,0.22956205317673084,0.148125,0.3425,0.19437500000000002,0.019437500000000003
pos_error_l2,sim2real,Sim_252,28,0.2374042283732492,0.15375000000000003,0.3425,0.18875,0.018875000000000003
pos_error_l2,sim2real,Sim_252,29,0.2356678025089408,0.15437500000000004,0.34125000000000005,0.186875,0.018687500000000003
pos_error_l2,sim2real,Sim_252,30,0.2294229450007507,0.15437500000000004,0.333125,0.17874999999999996,0.017875
pos_error_l2,sim2real,Sim_756,1,0.29981261800689807,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_756,2,0.2648652810597568,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_756,3,0.30176901327364103,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_756,4,0.23913568675547078,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_756,5,0.19851804608448984,0.0,0.5981249999999999,0.5981249999999999,0.05981249999999999
pos_error_l2,sim2real,Sim_756,6,0.18893976900577777,0.0,0.543125,0.543125,0.0543125
pos_error_l2,sim2real,Sim_756,7,0.20225676895308603,0.0,0.515625,0.515625,0.051562500000000004
pos_error_l2,sim2real,Sim_756,8,0.20335996354581024,0.0,0.489375,0.489375,0.0489375
pos_error_l2,sim2real,Sim_756,9,0.1857260856757919,0.0,0.45625000000000004,0.45625000000000004,0.045625000000000006
pos_error_l2,sim2real,Sim_756,10,0.220282143556671,0.065625,0.45625000000000004,0.39062500000000006,0.03906250000000001
pos_error_l2,sim2real,Sim_756,11,0.21931318541144143,0.079375,0.44562500000000005,0.3662500000000001,0.03662500000000001
pos_error_l2,sim2real,Sim_756,12,0.20530966889762747,0.079375,0.42125,0.34187500000000004,0.0341875
pos_error_l2,sim2real,Sim_756,13,0.22989298201948724,0.10250000000000001,0.42125,0.31875,0.031875
pos_error_l2,sim2real,Sim_756,14,0.224436647171829,0.10562500000000001,0.41375000000000006,0.30812500000000004,0.030812500000000007
pos_error_l2,sim2real,Sim_756,15,0.21676087542654088,0.10562500000000001,0.3975,0.291875,0.0291875
pos_error_l2,sim2real,Sim_756,16,0.24819959537475,0.1275,0.3975,0.27,0.027000000000000003
pos_error_l2,sim2real,Sim_756,17,0.24209351492873968,0.128125,0.3975,0.26937500000000003,0.026937500000000003
pos_error_l2,sim2real,Sim_756,18,0.232372884093506,0.128125,0.395625,0.2675,0.026750000000000003
pos_error_l2,sim2real,Sim_756,19,0.22371425851848653,0.128125,0.38125,0.253125,0.0253125
pos_error_l2,sim2real,Sim_756,20,0.23134804219952038,0.130625,0.38125,0.250625,0.0250625
pos_error_l2,sim2real,Sim_756,21,0.2234231640448996,0.130625,0.369375,0.23875000000000002,0.023875000000000004
pos_error_l2,sim2real,Sim_756,22,0.2228061183189471,0.130625,0.36312500000000003,0.23250000000000004,0.023250000000000007
pos_error_l2,sim2real,Sim_756,23,0.22991322748019966,0.1375,0.36312500000000003,0.22562500000000002,0.022562500000000003
pos_error_l2,sim2real,Sim_756,24,0.22217469968176437,0.1375,0.354375,0.21687499999999998,0.0216875
pos_error_l2,sim2real,Sim_756,25,0.22384431646385003,0.138125,0.35124999999999995,0.21312499999999995,0.021312499999999998
pos_error_l2,sim2real,Sim_756,26,0.23304648577672255,0.145625,0.35124999999999995,0.20562499999999995,0.020562499999999997
pos_error_l2,sim2real,Sim_756,27,0.22956205317673084,0.145625,0.34875,0.203125,0.0203125
pos_error_l2,sim2real,Sim_756,28,0.2374042283732492,0.15187500000000004,0.34875,0.19687499999999997,0.019687499999999997
pos_error_l2,sim2real,Sim_756,29,0.2356678025089408,0.15250000000000002,0.3475,0.19499999999999995,0.019499999999999997
pos_error_l2,sim2real,Sim_756,30,0.2294229450007507,0.15250000000000002,0.34,0.1875,0.018750000000000003
pos_error_l2,sim2real,Sim_10080,1,0.29981261800689807,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_10080,2,0.2648652810597568,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_10080,3,0.30176901327364103,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_10080,4,0.23913568675547078,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_10080,5,0.19851804608448984,0.0,0.599375,0.599375,0.059937500000000005
pos_error_l2,sim2real,Sim_10080,6,0.18893976900577777,0.0,0.5475000000000001,0.5475000000000001,0.054750000000000014
pos_error_l2,sim2real,Sim_10080,7,0.20225676895308603,0.0,0.51875,0.51875,0.051875000000000004
pos_error_l2,sim2real,Sim_10080,8,0.20335996354581024,0.056874999999999995,0.48875,0.431875,0.043187500000000004
pos_error_l2,sim2real,Sim_10080,9,0.1857260856757919,0.056874999999999995,0.451875,0.395,0.03950000000000001
pos_error_l2,sim2real,Sim_10080,10,0.220282143556671,0.095,0.451875,0.35687500000000005,0.035687500000000004
pos_error_l2,sim2real,Sim_10080,11,0.21931318541144143,0.10312500000000001,0.44125000000000003,0.338125,0.0338125
pos_error_l2,sim2real,Sim_10080,12,0.20530966889762747,0.10312500000000001,0.41437500000000005,0.31125,0.031125000000000003
pos_error_l2,sim2real,Sim_10080,13,0.22989298201948724,0.11624999999999999,0.41437500000000005,0.2981250000000001,0.02981250000000001
pos_error_l2,sim2real,Sim_10080,14,0.224436647171829,0.118125,0.406875,0.28875,0.028875
pos_error_l2,sim2real,Sim_10080,15,0.21676087542654088,0.118125,0.389375,0.27125000000000005,0.027125000000000007
pos_error_l2,sim2real,Sim_10080,16,0.24819959537475,0.133125,0.389375,0.25625000000000003,0.025625000000000005
pos_error_l2,sim2real,Sim_10080,17,0.24209351492873968,0.13375,0.389375,0.255625,0.025562500000000002
pos_error_l2,sim2real,Sim_10080,18,0.232372884093506,0.13375,0.38875000000000004,0.255,0.025500000000000002
pos_error_l2,sim2real,Sim_10080,19,0.22371425851848653,0.13375,0.37375,0.24000000000000002,0.024000000000000004
pos_error_l2,sim2real,Sim_10080,20,0.23134804219952038,0.13437500000000002,0.37375,0.239375,0.0239375
pos_error_l2,sim2real,Sim_10080,21,0.2234231640448996,0.13437500000000002,0.36124999999999996,0.22687499999999994,0.022687499999999996
pos_error_l2,sim2real,Sim_10080,22,0.2228061183189471,0.13437500000000002,0.354375,0.21999999999999997,0.022
pos_error_l2,sim2real,Sim_10080,23,0.22991322748019966,0.13937500000000003,0.354375,0.21499999999999997,0.0215
pos_error_l2,sim2real,Sim_10080,24,0.22217469968176437,0.13937500000000003,0.344375,0.20499999999999996,0.020499999999999997
pos_error_l2,sim2real,Sim_10080,25,0.22384431646385003,0.13937500000000003,0.34125000000000005,0.20187500000000003,0.020187500000000004
pos_error_l2,sim2real,Sim_10080,26,0.23304648577672255,0.14500000000000002,0.34125000000000005,0.19625000000000004,0.019625000000000004
pos_error_l2,sim2real,Sim_10080,27,0.22956205317673084,0.14500000000000002,0.339375,0.19437499999999996,0.019437499999999996
pos_error_l2,sim2real,Sim_10080,28,0.2374042283732492,0.14937500000000004,0.339375,0.18999999999999995,0.018999999999999996
pos_error_l2,sim2real,Sim_10080,29,0.2356678025089408,0.15000000000000002,0.33875,0.18874999999999997,0.018875
pos_error_l2,sim2real,Sim_10080,30,0.2294229450007507,0.15000000000000002,0.33,0.18,0.018
pos_error_l2,sim2real,Sim_7_biased,1,0.29981261800689807,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_7_biased,2,0.2648652810597568,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_7_biased,3,0.30176901327364103,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_7_biased,4,0.23913568675547078,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_7_biased,5,0.19851804608448984,0.0,0.58,0.58,0.057999999999999996
pos_error_l2,sim2real,Sim_7_biased,6,0.18893976900577777,0.0,0.54,0.54,0.054000000000000006
pos_error_l2,sim2real,Sim_7_biased,7,0.20225676895308603,0.02,0.5,0.48,0.048
pos_error_l2,sim2real,Sim_7_biased,8,0.20335996354581024,0.04,0.48,0.44,0.044000000000000004
pos_error_l2,sim2real,Sim_7_biased,9,0.1857260856757919,0.04,0.44,0.4,0.04000000000000001
pos_error_l2,sim2real,Sim_7_biased,10,0.220282143556671,0.08,0.44,0.36,0.036
pos_error_l2,sim2real,Sim_7_biased,11,0.21931318541144143,0.08,0.44,0.36,0.036
pos_error_l2,sim2real,Sim_7_biased,12,0.20530966889762747,0.08,0.4,0.32,0.032
pos_error_l2,sim2real,Sim_7_biased,13,0.22989298201948724,0.1,0.4,0.30000000000000004,0.030000000000000006
pos_error_l2,sim2real,Sim_7_biased,14,0.224436647171829,0.1,0.4,0.30000000000000004,0.030000000000000006
pos_error_l2,sim2real,Sim_7_biased,15,0.21676087542654088,0.1,0.38,0.28,0.028000000000000004
pos_error_l2,sim2real,Sim_7_biased,16,0.24819959537475,0.1,0.38,0.28,0.028000000000000004
pos_error_l2,sim2real,Sim_7_biased,17,0.24209351492873968,0.1,0.38,0.28,0.028000000000000004
pos_error_l2,sim2real,Sim_7_biased,18,0.232372884093506,0.1,0.38,0.28,0.028000000000000004
pos_error_l2,sim2real,Sim_7_biased,19,0.22371425851848653,0.1,0.38,0.28,0.028000000000000004
pos_error_l2,sim2real,Sim_7_biased,20,0.23134804219952038,0.12,0.38,0.26,0.026000000000000002
pos_error_l2,sim2real,Sim_7_biased,21,0.2234231640448996,0.12,0.38,0.26,0.026000000000000002
pos_error_l2,sim2real,Sim_7_biased,22,0.2228061183189471,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_7_biased,23,0.22991322748019966,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_7_biased,24,0.22217469968176437,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_7_biased,25,0.22384431646385003,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_7_biased,26,0.23304648577672255,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_7_biased,27,0.22956205317673084,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_7_biased,28,0.2374042283732492,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_7_biased,29,0.2356678025089408,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_7_biased,30,0.2294229450007507,0.12,0.36,0.24,0.024
pos_error_l2,e_value_wsr,none,1,0.29981261800689807,0.0,1.0,1.0,0.1
pos_error_l2,e_value_wsr,none,2,0.2648652810597568,0.0,1.0,1.0,0.1
pos_error_l2,e_value_wsr,none,3,0.30176901327364103,0.0,1.0,1.0,0.1
pos_error_l2,e_value_wsr,none,4,0.23913568675547078,0.0,1.0,1.0,0.1
pos_error_l2,e_value_wsr,none,5,0.19851804608448984,0.0,0.62,0.62,0.062
pos_error_l2,e_value_wsr,none,6,0.18893976900577777,0.0,0.56,0.56,0.05600000000000001
pos_error_l2,e_value_wsr,none,7,0.20225676895308603,0.0,0.52,0.52,0.052000000000000005
pos_error_l2,e_value_wsr,none,8,0.20335996354581024,0.04,0.5,0.46,0.046000000000000006
pos_error_l2,e_value_wsr,none,9,0.1857260856757919,0.04,0.46,0.42000000000000004,0.04200000000000001
pos_error_l2,e_value_wsr,none,10,0.220282143556671,0.08,0.46,0.38,0.038000000000000006
pos_error_l2,e_value_wsr,none,11,0.21931318541144143,0.1,0.44,0.33999999999999997,0.033999999999999996
pos_error_l2,e_value_wsr,none,12,0.20530966889762747,0.1,0.42,0.31999999999999995,0.031999999999999994
pos_error_l2,e_value_wsr,none,13,0.22989298201948724,0.1,0.42,0.31999999999999995,0.031999999999999994
pos_error_l2,e_value_wsr,none,14,0.224436647171829,0.1,0.42,0.31999999999999995,0.031999999999999994
pos_error_l2,e_value_wsr,none,15,0.21676087542654088,0.1,0.4,0.30000000000000004,0.030000000000000006
pos_error_l2,e_value_wsr,none,16,0.24819959537475,0.12,0.4,0.28,0.028000000000000004
pos_error_l2,e_value_wsr,none,17,0.24209351492873968,0.12,0.4,0.28,0.028000000000000004
pos_error_l2,e_value_wsr,none,18,0.232372884093506,0.12,0.4,0.28,0.028000000000000004
pos_error_l2,e_value_wsr,none,19,0.22371425851848653,0.12,0.38,0.26,0.026000000000000002
pos_error_l2,e_value_wsr,none,20,0.23134804219952038,0.12,0.38,0.26,0.026000000000000002
pos_error_l2,e_value_wsr,none,21,0.2234231640448996,0.12,0.36,0.24,0.024
pos_error_l2,e_value_wsr,none,22,0.2228061183189471,0.12,0.36,0.24,0.024
pos_error_l2,e_value_wsr,none,23,0.22991322748019966,0.14,0.36,0.21999999999999997,0.022
pos_error_l2,e_value_wsr,none,24,0.22217469968176437,0.14,0.36,0.21999999999999997,0.022
pos_error_l2,e_value_wsr,none,25,0.22384431646385003,0.14,0.34,0.2,0.020000000000000004
pos_error_l2,e_value_wsr,none,26,0.23304648577672255,0.14,0.34,0.2,0.020000000000000004
pos_error_l2,e_value_wsr,none,27,0.22956205317673084,0.14,0.34,0.2,0.020000000000000004
pos_error_l2,e_value_wsr,none,28,0.2374042283732492,0.14,0.34,0.2,0.020000000000000004
pos_error_l2,e_value_wsr,none,29,0.2356678025089408,0.14,0.34,0.2,0.020000000000000004
pos_error_l2,e_value_wsr,none,30,0.2294229450007507,0.14,0.34,0.2,0.020000000000000004
pos_error_l2,e_value_constant_0.25,none,1,0.29981261800689807,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,2,0.2648652810597568,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,3,0.30176901327364103,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,4,0.23913568675547078,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,5,0.19851804608448984,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,6,0.18893976900577777,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,7,0.20225676895308603,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,8,0.20335996354581024,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,9,0.1857260856757919,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,10,0.220282143556671,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,11,0.21931318541144143,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,12,0.20530966889762747,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,13,0.22989298201948724,0.0,1.0,1.0,0.1
pos_error_l2,e_value_constant_0.25,none,14,0.224436647171829,0.0,1.0,1.0,0.1
