pos_error_l2,orientation_error_geodesic
0.029981261800689808,0.1534413542375177
0.02299179441126156,0.04968248472223762
0.037557647770140944,0.15259581534120814
0.005123570720096001,0.010153050048381138
0.0036047483400566027,0.013043122333083773
0.014104838361221745,0.09299371843953919
0.028215876863693565,0.13785036869542663
0.021108232569487965,0.07111361799120813
0.004465506271564524,0.02784106039411127
0.0531286664484583,0.12995435694994753
0.020962360395914585,0.04847085478024261
0.005127098724567361,0.017546132985550605
0.052489273948180454,0.13731939945116262
0.015350429415227178,0.07338594728176934
0.010930007099250733,0.035473344023199405
0.0719780394597887,0.12001815573991556
0.014439622779257496,0.04945529326028616
0.0067122159894533705,0.024621767793467576
0.0067858998168136226,0.008133377196731574
0.03763899321391638,0.1480041545496982
0.006492560095248363,0.018659810844265514
0.020984815807394402,0.0665242317051522
0.038626962902775674,0.1452628995983606
0.0044188560317752635,0.014083455990996026
0.026391511923390638,0.08572579785412081
0.04631007185985348,0.10557499246723265
0.013896680557694607,0.07722049928146388
0.04491429586792453,0.15366240353362526
0.018704787830830478,0.04629836217428732
0.004832207726323858,0.01573135429777545
