line_no,event,ros_time,marker_id,run_name,side,marker_name,frame_number,csv_line,eoat_x_mm,eoat_y_mm,marker_gt_x_mm,marker_gt_y_mm
12878,searching_for_marker,1654611816.56434,2,Take 2022-06-07 10.22.08 AM,2,Marker10,10478,10486,-30.748356,6643.688965,31.247722812399076,6631.954164269319
13348,searching_for_marker,1654611865.011289,3,Take 2022-06-07 10.22.08 AM,2,Marker11,16291,16299,-32.494072,5494.818848,40.33126762086786,5480.665074694387
13525,searching_for_marker,1654611878.72403,4,Take 2022-06-07 10.22.08 AM,2,Marker12,17937,17945,-169.688919,5178.163086,173.5984529659748,5167.431103901992
13702,searching_for_marker,1654611891.675995,5,Take 2022-06-07 10.22.08 AM,2,Marker13,19491,19499,-47.078194,4886.306641,45.614639988721606,4852.437367630387
14032,searching_for_marker,1654612047.476874,0,Take 2022-06-07 10.25.50 AM,2,Marker8,11544,11552,-26.286526,7265.644043,26.258199710738587,7261.824150647333
14201,searching_for_marker,1654612085.405657,1,Take 2022-06-07 10.25.50 AM,2,Marker9,16095,16103,-140.968491,6955.475586,158.08445170755664,6948.385849848553
14474,searching_for_marker,1654612118.511899,2,Take 2022-06-07 10.25.50 AM,2,Marker10,20068,20076,-28.649693,6635.817383,31.247722812399076,6631.954164269319
15237,searching_for_marker,1654612237.223437,3,Take 2022-06-07 10.25.50 AM,2,Marker11,34313,34321,-20.337152,5479.651367,40.33126762086786,5480.665074694387
15510,searching_for_marker,1654612267.984944,4,Take 2022-06-07 10.25.50 AM,2,Marker12,38005,38013,-171.208603,5180.302734,173.5984529659748,5167.431103901992
15682,searching_for_marker,1654612300.930753,5,Take 2022-06-07 10.25.50 AM,2,Marker13,41958,41966,-42.679691,4858.852539,45.614639988721606,4852.437367630387
