measure,method,bank,final_width_norm,mean_width_norm,final_width_original,mean_width_original,width_norm_5,width_original_5,width_norm_10,width_original_10,width_norm_20,width_original_20,width_norm_30,width_original_30,width_norm_48,width_original_48
Search_Time,hoeffding,none,0.3920501378498426,0.6193816307072358,4.704601654198111,7.43257956848683,1.0,12.0,0.8216778421550709,9.860134105860851,0.607361461908305,7.28833754289966,0.4959085570353965,5.950902684424758,0.3920501378498426,4.704601654198111
Search_Time,sequential_t_test,none,0.2583975676221326,0.41783641222955453,3.1007708114655914,5.014036946754653,1.0,12.0,0.5160056563471487,6.192067876165784,0.3697366170645973,4.436839404775168,0.29379116154308577,3.5254939385170294,0.2583975676221326,3.1007708114655914
Search_Time,sim2real,Sim_10080,0.15375,0.3013151041666667,1.845,3.61578125,0.774375,9.2925,0.3725,4.47,0.23437500000000006,2.812500000000001,0.181875,2.1825,0.15375,1.845
Search_Time,sim2real,Sim_252,0.15499999999999997,0.3115299479166666,1.8599999999999997,3.7383593749999995,0.9315624999999998,11.178749999999997,0.375,4.5,0.2375000000000001,2.8500000000000014,0.18624999999999997,2.2349999999999994,0.15499999999999997,1.8599999999999997
Search_Time,sim2real,Sim_35,0.2,0.34145833333333336,2.4000000000000004,4.0975,0.9099999999999999,10.919999999999998,0.37999999999999995,4.56,0.26,3.12,0.24,2.88,0.2,2.4000000000000004
Search_Time,sim2real,Sim_756,0.15374999999999994,0.3145572916666667,1.8449999999999993,3.7746875,0.96,11.52,0.3862499999999999,4.634999999999999,0.2362499999999999,2.834999999999999,0.184375,2.2125000000000004,0.15374999999999994,1.8449999999999993
Search_Time,sim2real,Sim_7_biased,0.21999999999999997,0.3775,2.6399999999999997,4.53,0.9299999999999999,11.16,0.45999999999999996,5.52,0.3,3.5999999999999996,0.26,3.12,0.21999999999999997,2.6399999999999997
Search_Time,t_test,none,0.11004332470674116,0.21605036546346193,1.320519896480894,2.5926043855615433,0.4152477024784891,4.982972429741869,0.21765714826837113,2.6118857792204535,0.16056030172524605,1.9267236207029526,0.12704532441854266,1.524543893022512,0.11004332470674116,1.320519896480894
Search_Time,vincent,gap_0.05,0.3751093579122632,0.5382489859382605,4.501312294947159,6.458987831259126,0.7816317711347802,9.379581253617364,0.6609736927159888,7.931684312591866,0.5132161965327771,6.158594358393325,0.44789451478777287,5.374734177453274,0.3751093579122632,4.501312294947159
Search_Time,vincent,gap_0.1,0.44016161644680274,0.5918904783923963,5.281939397361633,7.102685740708755,0.8222163048714468,9.866595658457362,0.7102893802989512,8.523472563587415,0.5698589375730766,6.83830725087692,0.5067937144928947,6.081524573914736,0.44016161644680274,5.281939397361633
Search_Time,vincent,gap_0.2,0.5577700790172034,0.6899715724070458,6.693240948206441,8.279658868884551,0.9011861990073291,10.81423438808795,0.7999568890528699,9.599482668634439,0.6718324119687785,8.061988943625343,0.6162728309867546,7.395273971841055,0.5577700790172034,6.693240948206441
Search_Time,vincent,gap_0.3,0.6636928549014212,0.7784011740277464,7.964314258817054,9.340814088332957,0.9524811278266269,11.429773533919523,0.8811126476591791,10.573351771910149,0.7692208045536685,9.230649654644022,0.7165612548653479,8.598735058384175,0.6636928549014212,7.964314258817054
Search_Time,z_test,none,0.10721111994372146,0.18262218955975326,1.2865334393246575,2.191466274717039,0.2931340295535434,3.5176083546425208,0.18858113777859842,2.262973653343181,0.15035298235850236,1.8042357883020284,0.12174880274319544,1.4609856329183453,0.10721111994372146,1.2865334393246575
distance,e_value_constant_0.25,none,0.6599999999999999,0.9054166666666666,19.799999999999997,27.162499999999994,0.96,28.799999999999997,0.96,28.799999999999997,0.96,28.799999999999997,0.96,28.799999999999997,0.6599999999999999,19.799999999999997
distance,e_value_constant_0.5,none,0.33999999999999997,0.6941666666666667,10.2,20.825,0.96,28.799999999999997,0.96,28.799999999999997,0.84,25.2,0.54,16.200000000000003,0.33999999999999997,10.2
distance,e_value_wsr,none,0.18,0.38916666666666666,5.3999999999999995,11.674999999999999,0.96,28.799999999999997,0.54,16.200000000000003,0.29999999999999993,8.999999999999998,0.24000000000000005,7.200000000000001,0.18,5.3999999999999995
distance,empirical_bernstein,none,0.49847384067967204,0.8204775769234652,14.95421522039016,24.614327307703956,1.0,30.0,1.0,30.0,1.0,30.0,0.7466363579034623,22.39909073710387,0.49847384067967204,14.95421522039016
distance,hoeffding,none,0.39205013784984266,0.6204813268422101,11.76150413549528,18.614439805266304,1.0,30.0,0.858938816693475,25.76816450080425,0.607361461908305,18.22084385724915,0.4959085570353965,14.877256711061895,0.39205013784984266,11.76150413549528
distance,sequential_t_test,none,0.2323510102967788,0.4177556596561877,6.9705303089033634,12.53266978968563,0.9956104772544254,29.868314317632763,0.5556234586528066,16.668703759584197,0.34802195155361665,10.4406585466085,0.2710065907957526,8.130197723872579,0.2323510102967788,6.9705303089033634
distance,sim2real,Sim_10080,0.14375,0.28108072916666665,4.3125,8.432421875000001,0.6940625,20.821875000000002,0.323125,9.69375,0.21625000000000005,6.487500000000002,0.16562500000000002,4.968750000000001,0.14375,4.3125
distance,sim2real,Sim_252,0.14687499999999987,0.2931184895833333,4.4062499999999964,8.793554687499999,0.7471875,22.415625,0.340625,10.21875,0.21687499999999987,6.506249999999996,0.1681249999999999,5.0437499999999975,0.14687499999999987,4.4062499999999964
distance,sim2real,Sim_35,0.15999999999999998,0.2933333333333333,4.799999999999999,8.799999999999999,0.71,21.299999999999997,0.36,10.799999999999999,0.22000000000000003,6.6000000000000005,0.15999999999999998,4.799999999999999,0.15999999999999998,4.799999999999999
distance,sim2real,Sim_756,0.15062499999999995,0.305546875,4.518749999999999,9.16640625,0.8121875000000001,24.365625,0.37250000000000005,11.175,0.22687500000000005,6.806250000000001,0.17312500000000003,5.1937500000000005,0.15062499999999995,4.518749999999999
distance,sim2real,Sim_7_biased,0.29999999999999993,0.4533333333333332,8.999999999999998,13.6,0.87,26.1,0.5800000000000001,17.400000000000002,0.4,12.0,0.33999999999999997,10.2,0.29999999999999993,8.999999999999998
distance,t_test,none,0.09895092243831849,0.21461007902301907,2.9685276731495547,6.438302370690572,0.44258014546499,13.277404363949701,0.23436839506274404,7.031051851882321,0.1511305804442274,4.533917413326821,0.11719249846173568,3.5157749538520706,0.09895092243831849,2.9685276731495547
distance,vincent,gap_0.05,0.39669582012155147,0.5546838650260665,11.900874603646544,16.640515950781992,0.7788203082759859,23.364609248279578,0.6789898709837987,20.36969612951396,0.5331567472758443,15.994702418275327,0.4698201312841266,14.094603938523797,0.39669582012155147,11.900874603646544
distance,vincent,gap_0.1,0.4647829751060404,0.6092883226396169,13.943489253181212,18.278649679188504,0.8199608391463719,24.598825174391155,0.7282119520458195,21.846358561374583,0.5890798948017276,17.67239684405183,0.5288855371899281,15.866566115697845,0.4647829751060404,13.943489253181212
distance,vincent,gap_0.2,0.588140694103337,0.7094083991483432,17.64422082310011,21.2822519744503,0.9000059696339847,27.000179089019543,0.815040354399025,24.45121063197075,0.6941612481019561,20.824837443058684,0.6420714891828961,19.262144675486883,0.588140694103337,17.64422082310011
distance,vincent,gap_0.3,0.6941797648698018,0.7967775056171451,20.825392946094055,23.903325168514357,0.9519135636993107,28.55740691097932,0.8897143458032151,26.691430374096452,0.7882732033355792,23.648196100067373,0.7422153913688933,22.2664617410668,0.6941797648698018,20.825392946094055
distance,z_test,none,0.0964042048197637,0.17313980737011878,2.8921261445929107,5.1941942211035625,0.31242870379822646,9.372861113946794,0.20305999114617124,6.0917997343851376,0.14152273788227593,4.245682136468278,0.11230674126341667,3.3692022379025,0.0964042048197637,2.8921261445929107
