measure,normalization_lower,normalization_upper,raw_min,raw_max,raw_mean,normalized_mean,n_samples
Interception_Rate,0.0,1.0,0.5,1.0,0.8611111110833334,0.8611111110833334,48
Search_Time,0.0,12.0,1.627987901,10.36950032,4.739449182354167,0.3949540985295139,48
distance,0.0,30.0,6.527780024,29.55985951,15.839636810375,0.5279878936791667,48
