t,err_vx,err_vy,err_lin,err_yaw
2.419910,0.100047,0.280771,0.298063,0.516834
2.439893,0.132926,0.186754,0.229230,-0.404840
2.459762,0.114038,0.178155,0.211527,-0.290990
2.479748,0.086099,0.192823,0.211172,-0.000617
2.500286,0.097908,0.141197,0.171821,0.094052
2.519925,0.078960,0.097541,0.125495,-0.133231
2.539912,0.078106,0.042665,0.088999,-0.198879
2.559951,0.092374,0.062115,0.111316,0.314065
2.579932,0.076370,0.056302,0.094880,0.354530
2.599945,0.072287,-0.007082,0.072633,0.078768
2.620027,0.066873,-0.042260,0.079107,-0.012494
2.639981,0.047865,-0.042956,0.064314,0.179882
2.660032,0.056737,-0.068955,0.089297,0.238211
2.680003,0.030280,-0.083062,0.088409,0.226279
2.700057,0.013583,-0.102786,0.103680,0.281339
2.720094,-0.001364,-0.166923,0.166929,-0.155955
2.739931,-0.019658,-0.174241,0.175346,-0.003167
2.759941,-0.033591,-0.176582,0.179749,0.134665
2.780056,-0.020164,-0.168115,0.169320,0.248773
2.800006,-0.007006,-0.133746,0.133929,0.044027
2.820046,-0.004191,-0.093525,0.093619,-0.011685
2.839991,0.027118,-0.077969,0.082550,-0.000140
2.859849,0.061905,-0.070174,0.093577,-0.027010
2.880060,0.081566,-0.059793,0.101135,-0.025580
2.900109,0.090190,-0.026821,0.094094,0.000440
2.920030,0.112870,-0.011854,0.113491,-0.010001
2.939943,0.129899,0.017179,0.131030,0.040812
2.960016,0.147038,0.042015,0.152923,-0.075562
2.980070,0.163459,0.089371,0.186296,-0.166201
3.000252,0.181616,0.101302,0.207958,-0.140362
3.020129,0.199670,0.154449,0.252433,-0.270421
3.039903,0.233154,0.188039,0.299532,0.043302
3.059960,0.238633,0.196598,0.309187,0.176044
3.079985,0.159369,0.118865,0.198815,-0.891721
3.099993,0.163598,0.139039,0.214700,-0.037376
3.119856,0.150945,0.078907,0.170325,0.015059
3.139919,0.132058,0.060736,0.145355,-0.010996
3.159922,0.108965,0.037958,0.115387,-0.044458
3.179953,0.092515,-0.006173,0.092721,0.033483
3.200362,0.069035,-0.014067,0.070454,0.021637
3.219874,0.048927,-0.042941,0.065098,0.054394
3.239967,0.044614,-0.071211,0.084032,0.130311
3.259936,0.027565,-0.088544,0.092735,0.108593
3.279924,0.011332,-0.094205,0.094884,0.253927
3.300008,-0.016346,-0.096122,0.097502,0.255112
