t,err_weighted
6.379910,0.051275
6.399963,0.039146
6.419750,0.038216
6.439910,0.037210
6.459901,0.047692
6.479877,0.088063
6.499788,0.283616
6.519819,0.300121
6.539902,0.415686
6.559887,0.336884
6.579930,0.236876
6.599846,0.223761
6.619917,0.274229
6.639844,0.190188
6.659803,0.065528
6.679813,0.056763
6.699737,0.113072
6.719775,0.128960
6.739795,0.110425
6.759768,0.085449
6.779791,0.070743
6.799747,0.314839
6.819791,0.197500
6.839826,0.326557
6.859795,0.266203
6.879811,0.172939
6.899814,0.151953
6.919742,0.150326
6.939804,0.121941
6.959872,0.116231
6.979827,0.133690
6.999807,0.173878
7.019798,0.201994
7.040074,0.205499
7.059810,0.193460
7.079775,0.147377
7.099844,0.097072
7.119867,0.150902
7.139881,0.212374
7.159798,0.313862
7.179775,0.251433
7.199744,0.144105
7.219778,0.116963
7.239782,0.104064
7.259947,0.106565
7.279902,0.114210
7.299903,0.123543
7.319852,0.137790
7.339841,0.118638
7.359893,0.097884
7.379835,0.061575
7.399878,0.150146
7.419914,0.329754
7.439856,0.397292
7.459768,0.395326
7.479794,0.271314
7.499790,0.239145
7.519778,0.230813
7.539736,0.187911
7.559921,0.136302
7.579777,0.106420
7.599804,0.085279
7.619817,0.064229
7.639783,0.066442
7.659798,0.082481
7.679785,0.087048
7.699796,0.130709
7.719731,0.303527
7.739784,0.381336
7.759825,0.364992
7.779792,0.286611
7.799802,0.192932
7.819945,0.151636
7.839865,0.125958
7.859871,0.093696
7.879921,0.074748
7.899826,0.064653
7.919814,0.069696
7.939828,0.053706
7.959819,0.046786
7.979905,0.049854
7.999821,0.109816
8.019813,0.219711
8.039833,0.256092
8.059903,0.314126
8.079851,0.357324
8.099844,0.273974
8.119866,0.255497
8.139818,0.248097
8.159858,0.233775
8.179795,0.165372
8.199808,0.131502
8.219796,0.123515
8.239831,0.103833
8.259753,0.096411
8.279786,0.093387
8.299797,0.101103
8.319874,0.112672
8.339805,0.216065
8.359785,0.220052
8.379796,0.353952
8.399833,0.230111
8.419814,0.126920
8.439838,0.121930
8.460060,0.112575
8.479829,0.089720
8.499879,0.079615
8.519806,0.082708
8.539846,0.065214
8.559855,0.048223
8.579850,0.065612
8.599879,0.130248
8.619851,0.223874
8.639899,0.207255
8.659902,0.318473
8.679886,0.300951
8.699817,0.280496
8.719817,0.277041
8.739886,0.253638
8.759877,0.191699
8.779873,0.141450
8.799814,0.119887
8.819937,0.115293
8.840221,0.120855
8.859968,0.132441
8.879917,0.147238
8.899943,0.144788
8.919950,0.269868
8.939871,0.146552
8.959934,0.229184
8.979936,0.350109
8.999829,0.194369
9.019879,0.090495
9.039880,0.087703
9.059874,0.078084
9.079885,0.048255
9.099944,0.036901
9.119864,0.036233
9.139862,0.041786
9.159810,0.087755
9.179823,0.107365
9.199774,0.210727
9.219778,0.271067
9.239810,0.217322
9.259798,0.178721
9.279814,0.211043
9.299811,0.207366
9.319771,0.159957
9.339905,0.111153
9.359797,0.079556
9.379771,0.052610
9.399806,0.036588
9.419766,0.040801
9.439927,0.052507
9.459938,0.065190
9.479785,0.064709
9.499930,0.204399
9.519897,0.295149
9.539888,0.123266
9.559900,0.049659
9.579809,0.099803
9.599828,0.120815
9.619761,0.129003
9.639778,0.135457
9.659805,0.121401
9.679755,0.045609
9.699815,0.170700
9.719816,0.233498
9.739778,0.132683
9.759853,0.098755
9.779872,0.133029
9.799849,0.184290
9.819846,0.195281
9.839814,0.203246
9.859823,0.210640
9.879860,0.195553
9.899878,0.141896
9.919794,0.102115
9.939840,0.217624
9.959889,0.290825
9.979786,0.248149
9.999996,0.201269
10.019820,0.161287
10.039780,0.098248
10.059850,0.053968
10.079938,0.035490
10.099826,0.024467
10.119848,0.042337
10.139804,0.069103
10.159839,0.086122
10.179822,0.110331
10.199813,0.204057
10.219817,0.238019
10.239825,0.333972
10.259871,0.357035
10.279928,0.232944
10.299919,0.203330
10.319998,0.183329
10.339763,0.147181
10.360103,0.116029
10.380295,0.114607
10.400236,0.120696
10.420295,0.115494
10.440235,0.123638
10.460305,0.126981
10.480173,0.112021
10.499881,0.086732
10.519983,0.182600
10.540009,0.183396
10.559960,0.191750
10.579869,0.197253
10.599913,0.156734
10.619925,0.143616
10.639890,0.144026
10.659755,0.118719
10.679789,0.095305
10.699780,0.077801
10.719790,0.063138
10.739882,0.050044
10.759779,0.060307
10.779914,0.063217
10.799773,0.075047
10.819885,0.139748
10.839774,0.228674
10.859790,0.271393
10.879814,0.410649
10.899909,0.375161
10.919788,0.219811
10.939888,0.189614
10.959783,0.166082
10.979787,0.132800
10.999885,0.128872
11.019913,0.121774
11.039894,0.110576
11.059888,0.107755
11.079786,0.100151
11.099895,0.092323
11.119798,0.072776
11.139807,0.245276
11.159779,0.207869
11.179748,0.305614
11.199810,0.272304
11.219751,0.162921
11.239810,0.179161
11.259985,0.165589
11.279920,0.138805
11.299951,0.099455
11.319924,0.074675
11.339863,0.102493
11.359912,0.136394
11.379900,0.166489
11.399937,0.198986
11.419942,0.218006
11.440180,0.248187
11.459886,0.293843
11.479834,0.407232
11.499884,0.372140
11.519893,0.487691
11.539884,0.444235
11.559876,0.382982
11.579893,0.315856
11.599859,0.242015
11.619809,0.192604
11.639925,0.142502
11.659920,0.106569
11.679779,0.086527
11.699803,0.105701
11.719770,0.127227
11.739805,0.129636
11.759773,0.193676
11.779738,0.271417
11.799820,0.124082
11.819843,0.217077
11.839831,0.268786
11.859805,0.188134
11.879865,0.129749
11.899808,0.126833
11.919907,0.126219
11.939749,0.078371
11.959896,0.077690
11.979817,0.092335
11.999865,0.086969
12.019895,0.098906
12.039900,0.118019
12.059838,0.139838
12.080074,0.204602
12.099926,0.273518
12.119907,0.217125
12.139941,0.177773
12.159802,0.162838
12.179822,0.138230
12.199975,0.111893
12.219821,0.098352
12.239853,0.095511
12.259786,0.089153
12.279849,0.102002
12.299772,0.103372
12.319824,0.292477
12.339815,0.168905
12.359825,0.086554
12.379812,0.123659
12.399796,0.199058
12.419897,0.155726
12.439908,0.126506
12.459884,0.102348
12.479839,0.089778
12.499869,0.075638
12.519863,0.055543
12.539867,0.087830
12.559868,0.103947
12.579928,0.119921
12.599934,0.118962
12.619802,0.118085
12.639980,0.180523
12.659893,0.251548
12.679930,0.192778
12.699912,0.157804
12.719741,0.145951
12.739755,0.159506
12.759776,0.189591
12.779861,0.212272
12.799801,0.262321
12.819850,0.250428
12.839833,0.221663
12.859810,0.185611
12.879805,0.129471
12.899749,0.148770
12.919775,0.166003
12.939743,0.138458
12.959737,0.081644
12.979797,0.068430
12.999919,0.060285
13.019871,0.068697
13.039852,0.053086
13.059851,0.076494
13.079751,0.102906
13.099850,0.096344
13.119782,0.164039
13.139821,0.225896
13.159782,0.316176
13.179799,0.349533
13.199782,0.212601
13.219777,0.165851
13.239854,0.160127
13.259857,0.173283
13.279811,0.109876
13.299925,0.071139
13.319916,0.046326
13.339748,0.044591
13.359735,0.050935
13.379805,0.091200
13.399738,0.135975
13.419771,0.057866
13.439778,0.062853
13.459775,0.041554
13.479776,0.027654
13.499791,0.046967
13.519794,0.050641
13.539856,0.061046
13.559786,0.061645
13.579953,0.052443
13.599919,0.057642
13.619854,0.061874
13.639900,0.052635
13.659902,0.174637
13.679790,0.198077
13.699828,0.188059
13.719743,0.206156
13.739769,0.258298
13.759867,0.246142
13.779756,0.196202
