measure,method,bank,final_width_norm,mean_width_norm,final_width_original,mean_width_original,width_norm_5,width_original_5,width_norm_10,width_original_10,width_norm_20,width_original_20,width_norm_30,width_original_30,width_norm_100,width_original_100,width_norm_300,width_original_300,width_norm_900,width_original_900
err_lin,e_value_constant_0.25,none,0.06,0.16933040614709113,0.027,0.07619868276619102,1.0,0.45,1.0,0.45,1.0,0.45,0.86,0.387,0.32000000000000006,0.14400000000000004,0.12,0.054,0.06,0.027
err_lin,e_value_constant_0.5,none,0.03999999999999998,0.11514818880351263,0.01799999999999999,0.051816684961580685,1.0,0.45,0.94,0.423,0.64,0.28800000000000003,0.5599999999999999,0.252,0.19999999999999996,0.08999999999999998,0.07999999999999996,0.03599999999999998,0.03999999999999998,0.01799999999999999
err_lin,e_value_wsr,none,0.03999999999999998,0.08575192096597146,0.01799999999999999,0.038588364434687154,1.0,0.45,0.34,0.15300000000000002,0.34,0.15300000000000002,0.32,0.14400000000000002,0.12,0.054,0.07999999999999996,0.03599999999999998,0.03999999999999998,0.01799999999999999
err_lin,empirical_bernstein,none,0.050567837999122456,0.14595034017489622,0.022755527099605107,0.0656776530787033,1.0,0.45,1.0,0.45,0.7916619692568406,0.3562478861655783,0.7347952966701193,0.33065788350155373,0.2822742038396609,0.1270233917278474,0.10759024484527369,0.04841561018037316,0.051052876137627434,0.022973794261932346
err_lin,hoeffding,none,0.08999182124215876,0.16518290488283502,0.04049631955897145,0.07433230719727575,0.6138752396860828,0.2762438578587373,0.46068785279118196,0.2073095337560319,0.5110890642874858,0.22999007892936862,0.4959085570353965,0.22315885066592842,0.2716203031481238,0.12222913641665571,0.15682005513993702,0.07056902481297166,0.0905401010493746,0.04074304547221857
err_lin,sequential_t_test,none,0.0637015662902326,0.11004888509283921,0.028665704830604672,0.04952199829177764,0.02844809159887299,0.012801641219492847,0.09213615025675753,0.04146126761554089,0.4463262379226287,0.20084680706518293,0.422168659231262,0.18997589665406792,0.193770934983038,0.0871969207423671,0.09439808980206832,0.042479140410930746,0.06416660589800349,0.028874972654101574
err_lin,sim2real,Sim_10080,0.03875000000000006,0.07442508232711308,0.01743750000000003,0.033491287047200884,0.5368750000000001,0.24159375000000005,0.36375,0.1636875,0.30624999999999997,0.13781249999999998,0.264375,0.11896875000000001,0.11687500000000006,0.05259375000000003,0.056875000000000064,0.02559375000000003,0.03875000000000001,0.017437500000000005
err_lin,sim2real,Sim_252,1.0,0.21081846871569704,0.45,0.0948683109220637,0.5162500000000001,0.23231250000000006,0.375625,0.16903125,0.306875,0.13809375000000002,0.26,0.117,0.11687499999999995,0.05259374999999998,0.05312500000000003,0.023906250000000014,1.0,0.45
err_lin,sim2real,Sim_35,0.09999999999999998,0.1453128430296378,0.04499999999999999,0.06539077936333701,0.52,0.234,0.36,0.162,0.30000000000000004,0.13500000000000004,0.28,0.12600000000000003,0.18,0.081,0.16000000000000003,0.07200000000000002,0.09999999999999998,0.04499999999999999
err_lin,sim2real,Sim_756,0.030000000000000027,0.06929541712403953,0.013500000000000012,0.031182937705817784,0.51875,0.23343750000000002,0.37687499999999996,0.16959375,0.310625,0.13978125,0.254375,0.11446875000000001,0.11187499999999995,0.05034374999999998,0.05312500000000003,0.023906250000000014,0.030000000000000027,0.013500000000000012
