t,err_weighted
6.378690,0.079791
6.398702,0.101694
6.418536,0.101100
6.438586,0.098671
6.458825,0.074682
6.478706,0.136653
6.498784,0.278309
6.518825,0.146851
6.538845,0.177144
6.558662,0.201549
6.578784,0.174473
6.598853,0.210791
6.618973,0.088472
6.638824,0.051978
6.658688,0.024436
6.678785,0.025377
6.698785,0.029756
6.718688,0.040687
6.738790,0.058158
6.758841,0.077486
6.778850,0.082888
6.798785,0.083222
6.818687,0.197379
6.838846,0.184374
6.858791,0.080855
6.878784,0.071769
6.898759,0.061145
6.918570,0.047142
6.938673,0.031116
6.958551,0.036847
6.978673,0.050212
6.998718,0.061625
7.018932,0.081197
7.038799,0.106011
7.059016,0.106397
7.078970,0.106070
7.098797,0.086990
7.119123,0.149400
7.139008,0.284549
7.158945,0.148067
7.178977,0.176345
7.199155,0.201455
7.219066,0.173557
7.239014,0.138683
7.258971,0.096467
7.278965,0.054489
7.299091,0.027003
7.318913,0.033378
7.338895,0.038557
7.358919,0.047129
7.379006,0.059746
7.398862,0.078603
7.418948,0.066893
7.438987,0.072281
7.458931,0.149675
7.478925,0.213967
7.498918,0.093910
7.518948,0.064130
7.539931,0.055039
7.558778,0.093497
7.578925,0.037993
7.598951,0.038784
7.618790,0.048215
7.639047,0.051536
7.658972,0.071544
7.678928,0.113092
7.698882,0.097939
7.718887,0.083911
7.738939,0.096523
7.758921,0.132522
7.778913,0.259761
7.799043,0.185352
7.818930,0.171481
7.838950,0.200244
7.858897,0.182893
7.879021,0.154256
7.899457,0.112713
7.918885,0.066502
7.938994,0.030298
7.958909,0.024260
7.978892,0.032227
7.998917,0.042398
8.019009,0.054468
8.038931,0.071739
8.058827,0.082591
8.078866,0.078689
8.098914,0.061443
8.118934,0.236511
8.138885,0.147101
8.158924,0.064992
8.179078,0.067756
8.199126,0.048008
8.219048,0.032985
8.239049,0.033808
8.259059,0.042983
8.278800,0.051474
8.299005,0.060177
8.318989,0.096022
8.338958,0.065037
8.358906,0.104134
8.378981,0.075094
8.398907,0.078501
8.418934,0.189713
8.438840,0.246469
8.458890,0.138019
8.478977,0.171204
8.498981,0.188147
8.518879,0.161990
8.538906,0.130363
8.559076,0.128285
8.579327,0.039550
8.598967,0.023793
8.618993,0.025163
8.638936,0.033609
8.658960,0.041384
8.678887,0.063511
8.699010,0.072947
8.718892,0.049818
8.738902,0.053328
8.759024,0.214722
8.778862,0.190407
8.798865,0.085337
8.819070,0.151855
8.839027,0.028820
8.858873,0.042077
8.879061,0.072847
8.899026,0.070560
8.919081,0.168365
8.938981,0.227948
8.958989,0.231925
8.978884,0.186634
8.999128,0.166768
9.018855,0.131145
9.038900,0.073547
9.059269,0.196356
9.078881,0.123543
9.098905,0.100045
9.118968,0.110229
9.138852,0.115751
9.158910,0.100358
9.178993,0.071509
9.198868,0.032665
9.219199,0.026600
9.239284,0.032716
9.258990,0.043470
9.279030,0.052333
9.299010,0.051136
9.318945,0.044325
9.339821,0.084704
9.358947,0.143983
9.378817,0.284260
9.398863,0.362390
9.418921,0.460654
9.438898,0.248375
9.458848,0.239387
9.478900,0.191484
9.499036,0.220301
9.518884,0.161236
9.539013,0.090575
9.558893,0.065705
9.578990,0.050467
9.599170,0.053709
9.618938,0.063450
9.638896,0.071222
9.658998,0.078876
9.678888,0.164051
9.698874,0.241807
9.719041,0.052927
9.739393,0.032338
9.758891,0.046563
9.778857,0.043248
9.798930,0.040754
9.818937,0.043760
9.838936,0.060634
9.858896,0.075491
9.878863,0.093751
9.898902,0.103863
9.918938,0.093198
9.938976,0.071194
9.958886,0.126057
9.978955,0.313099
9.998851,0.171247
10.018741,0.193553
10.039005,0.203992
10.059024,0.174364
10.079089,0.133708
10.098931,0.090413
10.119006,0.063398
10.138980,0.041891
10.159062,0.037555
10.178916,0.037739
10.199001,0.043874
10.218947,0.060399
10.238941,0.077317
10.258858,0.075286
10.278986,0.065588
10.299064,0.205289
10.318970,0.126973
10.338992,0.046845
10.358979,0.065819
10.379017,0.053697
10.398953,0.038563
10.418958,0.069523
10.438919,0.037756
10.459127,0.045716
10.479249,0.063663
10.499002,0.084414
10.518963,0.096338
10.538924,0.096297
10.558962,0.079411
10.578941,0.129525
10.599089,0.250223
10.618967,0.195734
10.639129,0.184450
10.658908,0.200365
10.678918,0.184667
10.698936,0.153157
10.718795,0.118166
10.738909,0.081549
10.758918,0.054522
10.779007,0.040273
10.798919,0.046413
10.818889,0.052337
10.838888,0.061045
10.859021,0.078410
10.878971,0.094778
10.898942,0.081341
10.918960,0.132647
10.938907,0.201388
10.959005,0.093862
10.978940,0.048923
10.998952,0.064719
11.018905,0.051693
11.038922,0.038364
11.058925,0.038798
11.078945,0.044972
11.098993,0.053516
11.119012,0.073556
11.138882,0.097835
11.159027,0.096600
11.178923,0.088719
11.198940,0.107062
11.219065,0.231304
11.239391,0.256661
11.258864,0.162488
11.279049,0.173896
11.298953,0.178537
11.319166,0.155108
11.339354,0.115703
11.359136,0.084722
11.379021,0.090059
11.398880,0.097977
11.418962,0.087445
11.438919,0.105294
11.458952,0.113106
11.478991,0.122210
11.498954,0.133492
11.518902,0.151559
11.538889,0.228977
11.558905,0.215953
11.579007,0.236078
11.598944,0.149878
11.619003,0.103120
11.638975,0.062249
11.658931,0.058775
11.678939,0.068019
11.699254,0.064083
11.718947,0.062573
11.738979,0.068763
11.758915,0.074299
11.778933,0.077345
11.798924,0.087224
11.818976,0.118042
11.838949,0.170662
11.858918,0.249309
11.878981,0.206023
11.898951,0.114008
11.918946,0.101753
11.938883,0.096101
11.958873,0.068542
11.978992,0.037318
11.999105,0.029606
12.019029,0.059136
12.038921,0.092892
12.059367,0.131931
12.078971,0.163160
12.098947,0.174012
12.119081,0.126303
12.138944,0.244589
12.158939,0.129484
12.178965,0.136246
12.198930,0.113089
12.219260,0.085100
12.238898,0.074672
12.258959,0.063738
12.278948,0.060855
12.299443,0.071465
12.318832,0.090796
12.339031,0.112484
12.359006,0.128694
12.378915,0.134405
12.398955,0.143222
12.418941,0.084579
12.439272,0.258941
12.458951,0.220954
12.478927,0.148709
12.498865,0.187663
12.519197,0.198181
12.538913,0.169249
12.558917,0.140186
12.578880,0.103201
12.598943,0.067605
12.619079,0.045987
12.639006,0.046908
12.659089,0.055264
12.678918,0.061438
12.698901,0.069618
12.719048,0.083547
12.738916,0.087343
12.758978,0.060282
12.778885,0.166377
12.798881,0.181181
12.818923,0.096181
12.839038,0.080920
