t,err_weighted
0.000000,0.305183
0.019623,0.434791
0.039998,0.482582
0.060207,0.190478
0.079859,0.165199
0.099791,0.231762
0.120000,0.167517
0.140147,0.110971
0.160375,0.178026
0.179751,0.210776
0.199960,0.203147
0.219790,0.173291
0.240063,0.165812
0.259736,0.148610
0.280143,0.116371
0.300092,0.087045
0.319887,0.066378
0.339942,0.072931
0.359854,0.143091
0.379955,0.104870
0.400156,0.220695
0.419880,0.270989
0.440202,0.197114
0.460029,0.123126
0.480112,0.062843
0.499914,0.034237
0.519913,0.026476
0.539625,0.036106
0.559664,0.037649
0.579882,0.035154
0.600189,0.032172
0.619812,0.039314
0.639718,0.051435
0.659892,0.065460
0.679768,0.083228
0.699809,0.091366
0.719870,0.148894
0.739827,0.274232
0.759859,0.346935
0.779725,0.171786
0.800025,0.138320
0.820053,0.152890
0.839883,0.071503
0.859659,0.056116
0.879713,0.090385
0.899776,0.101072
0.919736,0.100366
0.939670,0.095337
0.959782,0.077440
0.979750,0.050101
0.999859,0.066056
1.019835,0.070104
1.039870,0.097411
1.059745,0.266854
1.079763,0.255480
1.099758,0.284661
1.119639,0.249898
1.139776,0.194324
1.159867,0.127751
1.179864,0.015361
1.200055,0.033422
1.220002,0.042926
1.239902,0.006072
1.259783,0.027287
1.279885,0.052211
1.300099,0.057685
1.320018,0.068560
1.340049,0.075906
1.359773,0.092966
1.379666,0.125096
1.399615,0.192411
1.419838,0.360850
1.439881,0.479048
1.460136,0.318027
1.479716,0.185679
1.499708,0.159816
1.519624,0.144732
1.539707,0.027480
1.559912,0.086226
1.579672,0.102510
1.599943,0.098154
1.619761,0.099514
1.639657,0.097694
1.659876,0.091338
1.679964,0.071791
1.699597,0.049608
1.719748,0.064341
1.739759,0.067836
1.759575,0.121021
1.779658,0.293327
1.799658,0.254364
1.819723,0.294588
1.839613,0.244224
1.859556,0.194358
1.879669,0.134846
1.899691,0.088001
1.919677,0.064067
1.939834,0.061107
1.960023,0.047220
1.979964,0.065351
2.000357,0.065436
2.020031,0.074488
2.040063,0.081126
2.059712,0.085324
2.079956,0.109066
2.099974,0.206915
2.120016,0.324005
2.139991,0.298444
2.159800,0.217307
2.180141,0.095385
2.199631,0.066409
2.219677,0.045814
2.240114,0.116150
2.259699,0.137429
2.279872,0.116018
2.300169,0.102517
2.319917,0.100393
2.340036,0.087871
2.359937,0.087981
2.380049,0.048535
2.399710,0.063076
2.419794,0.079743
2.439958,0.121718
2.460123,0.236199
2.480352,0.435557
2.499972,0.373634
2.520174,0.205162
2.539860,0.394864
2.560257,0.290292
2.579755,0.221561
2.599745,0.144467
2.619903,0.093606
2.640129,0.055868
2.659968,0.034859
2.680027,0.019441
2.700324,0.036182
2.720012,0.061629
2.739985,0.074246
2.760047,0.090828
2.779608,0.140631
2.800034,0.258461
2.819854,0.352854
2.839894,0.474175
2.859949,0.291491
2.880086,0.210970
2.899909,0.164870
2.920079,0.032055
2.939852,0.054721
2.960204,0.079365
2.979956,0.105528
2.999721,0.087773
3.020017,0.103051
3.040315,0.082276
3.060726,0.064168
3.079867,0.083029
3.100002,0.086549
3.119849,0.089400
3.140284,0.110151
3.159496,0.165198
3.180146,0.307192
3.200764,0.284498
3.219951,0.211696
3.240521,0.439307
3.259655,0.346369
3.280293,0.275508
3.299659,0.196059
3.319836,0.131025
3.340501,0.082171
3.361314,0.022611
3.380212,0.023190
3.401407,0.027809
3.420690,0.056703
3.439776,0.074020
3.459903,0.075709
3.480307,0.111594
3.500826,0.212039
3.520934,0.312504
3.540096,0.418484
3.560733,0.266753
3.581167,0.347844
3.599871,0.184912
3.620996,0.123489
3.640667,0.097241
3.660598,0.044028
3.680302,0.090228
3.700242,0.097288
3.719530,0.086862
3.739791,0.081078
3.761371,0.101950
3.780897,0.069407
3.800378,0.119289
3.820477,0.216307
3.839631,0.199700
3.860436,0.164414
3.879683,0.143883
3.900501,0.382775
3.921103,0.068956
3.940546,0.300322
3.960775,0.216494
3.980758,0.161655
4.001199,0.085436
4.019048,0.036910
4.040550,0.023500
4.059654,0.032589
4.080458,0.043556
4.100702,0.096619
4.120375,0.119211
4.140643,0.161879
4.159479,0.201446
4.179992,0.260705
4.201490,0.410794
4.219366,0.455416
4.240539,0.509607
4.260204,0.567863
4.280085,0.750822
4.299789,0.553517
4.319791,0.271801
4.339502,0.276445
4.360473,0.296448
4.379917,0.201797
4.400033,0.058897
4.420152,0.013947
4.439385,0.034979
4.459731,0.055711
4.480924,0.073610
4.500154,0.096653
4.520152,0.100270
4.540198,0.091028
4.559466,0.073772
4.579459,0.113282
4.599603,0.128223
4.620064,0.129652
4.640129,0.313661
4.660068,0.242575
4.680034,0.240303
4.699935,0.166264
4.719449,0.097457
