t,err_weighted
0.000000,0.039654
0.020028,0.028394
0.039994,0.017315
0.059992,0.019498
0.079950,0.022321
0.099934,0.019911
0.119951,0.016709
0.139934,0.016128
0.160033,0.021100
0.179996,0.028335
0.200042,0.033537
0.220426,0.069206
0.240286,0.081654
0.260076,0.082103
0.280002,0.085234
0.299980,0.085657
0.319994,0.087849
0.340130,0.096448
0.360015,0.101798
0.380125,0.103979
0.400049,0.109386
0.420026,0.126595
0.440006,0.105615
0.460020,0.098151
0.480058,0.088658
0.500296,0.055696
0.520046,0.071432
0.540062,0.068625
0.560035,0.065233
0.580068,0.067895
0.600021,0.077912
0.620048,0.099050
0.640053,0.123599
0.660023,0.135437
0.680021,0.135868
0.700279,0.149697
0.720026,0.103434
0.740048,0.152792
0.760024,0.120550
0.780087,0.119888
0.800031,0.138622
0.820116,0.129121
0.840056,0.099615
0.860194,0.063996
0.880036,0.033017
0.900023,0.040364
0.920016,0.041305
0.940009,0.056257
0.959974,0.072242
0.980026,0.085058
1.000126,0.081947
1.020258,0.076818
1.039987,0.147340
1.060180,0.197086
1.079982,0.122452
1.100032,0.113805
1.119953,0.123497
1.140014,0.111926
1.159995,0.090760
1.180080,0.066543
1.200256,0.051807
1.220099,0.048993
1.240094,0.058744
1.260025,0.068141
1.280013,0.077694
1.300145,0.087485
1.320097,0.082787
1.340139,0.087375
1.360053,0.119264
1.380195,0.138089
1.400123,0.104904
1.420023,0.114383
1.440006,0.121661
1.460004,0.106915
1.480032,0.075932
1.500227,0.036780
1.519997,0.024847
1.540009,0.031710
1.560312,0.043501
1.580243,0.063275
1.600133,0.080689
1.619977,0.084591
1.640128,0.074908
1.659988,0.063946
1.680087,0.134502
1.700000,0.159914
1.719994,0.128671
1.740022,0.124258
1.760133,0.124501
1.780124,0.112847
1.800020,0.083059
1.820049,0.059603
1.840118,0.051988
1.860038,0.058926
1.880019,0.075050
1.900061,0.093331
1.920017,0.109256
1.940010,0.127151
1.960164,0.128514
1.980032,0.111628
2.000009,0.074798
2.020035,0.071779
2.040013,0.047708
2.060133,0.054289
2.080009,0.058576
2.100016,0.031731
2.120009,0.056047
2.140051,0.083125
2.160007,0.096704
2.180012,0.085522
2.200038,0.063151
2.220026,0.037463
2.240531,0.071180
2.260263,0.084370
2.280052,0.084876
2.300042,0.063366
2.320030,0.077557
2.340166,0.284931
2.360264,0.180915
2.380142,0.190139
2.400064,0.198567
2.420221,0.171562
2.440160,0.142991
2.460021,0.098051
2.480049,0.064262
2.500082,0.046541
2.520162,0.040990
2.540025,0.043599
2.560134,0.042256
2.580179,0.043969
2.600242,0.062655
2.619996,0.086515
2.640018,0.105698
2.660003,0.095553
2.680114,0.104849
2.700015,0.206314
2.719997,0.082021
2.740020,0.026124
2.760023,0.051712
2.780024,0.042621
2.800056,0.036840
2.820111,0.034673
2.840074,0.049358
2.860029,0.062395
2.879998,0.081813
2.900287,0.104726
2.920249,0.104398
2.940183,0.091586
2.960251,0.110496
2.980033,0.207580
3.000221,0.253063
3.020021,0.168893
3.039996,0.185135
3.060138,0.180528
3.080027,0.149280
3.100051,0.108370
3.120031,0.071519
3.140183,0.042728
3.160366,0.028372
3.180395,0.035010
3.200133,0.041880
3.220055,0.050922
3.240077,0.068216
3.260059,0.081973
3.280033,0.076409
3.300011,0.165750
3.320078,0.203034
3.340118,0.063998
3.360056,0.044388
3.380158,0.057190
3.400223,0.051739
3.420266,0.038360
3.440198,0.038703
3.460348,0.045408
3.480185,0.059148
3.500362,0.080056
3.520209,0.104725
3.540183,0.103463
3.560169,0.092113
3.580146,0.109872
3.600060,0.206348
3.620052,0.243454
3.640302,0.166289
3.660146,0.182573
3.680152,0.177972
3.700095,0.153843
3.720106,0.113712
3.740182,0.075234
3.760034,0.043930
3.780040,0.033411
3.800051,0.092000
3.820170,0.181782
3.840129,0.187724
3.860027,0.177995
3.880036,0.142004
3.900071,0.090652
3.920009,0.085924
3.940109,0.130597
3.960267,0.268986
3.980014,0.134149
4.000017,0.118257
4.020029,0.124696
4.040153,0.105436
4.060048,0.079172
4.080007,0.057795
4.100054,0.058091
4.120021,0.079725
4.140046,0.098314
4.160033,0.142162
4.180009,0.183413
4.200100,0.199907
4.220137,0.176222
4.240492,0.078221
4.260559,0.051897
4.280155,0.038556
4.300141,0.031732
4.320166,0.030590
4.340106,0.025723
4.360125,0.022801
4.380112,0.027547
4.400150,0.047048
4.420110,0.068496
4.439992,0.091909
4.460202,0.113405
4.480440,0.117088
4.500148,0.102651
4.520156,0.085330
4.540133,0.189396
4.560162,0.274019
4.580178,0.152783
4.600072,0.171100
4.620133,0.176535
4.640217,0.142939
4.660029,0.096442
4.680115,0.052356
4.700189,0.019474
4.720082,0.020761
4.740124,0.026991
4.760156,0.031166
4.780018,0.038190
4.800007,0.058451
4.820015,0.077541
4.840176,0.079264
4.860055,0.093261
4.880015,0.250730
4.900109,0.187825
4.919999,0.084831
4.939977,0.079144
4.960066,0.054054
4.980092,0.035949
5.000150,0.033443
5.020187,0.039308
5.040146,0.044703
5.060073,0.045201
5.080253,0.058362
5.100299,0.083283
5.120058,0.090558
5.140132,0.100419
5.160102,0.097625
5.180226,0.097857
5.200183,0.202416
5.220034,0.229546
5.240053,0.140444
5.260149,0.164150
5.280104,0.174200
5.300239,0.149280
5.320232,0.121152
5.340252,0.075809
5.360109,0.036060
5.380285,0.023260
5.400197,0.038944
5.420110,0.046405
5.440071,0.051098
5.460056,0.068630
5.480025,0.081652
5.500191,0.072573
5.520147,0.057558
5.540132,0.257237
5.560012,0.168323
5.580064,0.060450
5.600332,0.066343
5.620011,0.050894
5.640131,0.030848
5.660149,0.029243
5.680020,0.041047
5.700200,0.051486
5.720143,0.061709
5.740196,0.077631
5.760252,0.090055
5.779999,0.092650
5.800225,0.085127
5.820150,0.084196
5.840176,0.191739
5.860235,0.246062
5.880213,0.140850
5.900149,0.171643
5.920060,0.184213
5.940159,0.156858
5.960157,0.123070
5.980052,0.073124
6.000127,0.036647
6.020003,0.023394
6.040060,0.026940
6.060223,0.033469
6.080212,0.041069
6.100089,0.054967
6.120170,0.064984
6.140075,0.056775
6.160084,0.061177
6.180063,0.243082
6.200085,0.138114
6.220129,0.057107
6.240058,0.067025
6.260238,0.052803
6.280522,0.034578
6.300230,0.043201
6.320194,0.048057
6.340091,0.055914
6.360134,0.067911
6.380124,0.088813
6.400284,0.099567
6.420231,0.100599
6.440461,0.088219
6.460219,0.094297
6.480139,0.229130
6.500055,0.229490
6.520195,0.151749
6.540056,0.187590
6.560141,0.186674
6.580216,0.153215
6.600162,0.111515
6.620151,0.063706
6.640139,0.031578
6.660037,0.021128
6.680093,0.025186
6.700104,0.029659
6.720073,0.043517
6.740087,0.063404
6.760028,0.078109
6.780006,0.067438
6.800133,0.148625
6.820188,0.227927
6.840214,0.106498
6.860021,0.042392
6.880014,0.053536
6.900145,0.047431
6.920117,0.034848
6.940086,0.035434
6.960082,0.048315
6.980152,0.060155
7.000032,0.078721
7.020131,0.103603
7.040143,0.108274
7.060237,0.111140
7.080031,0.096024
7.100038,0.122098
7.120090,0.270192
7.140248,0.193629
7.160163,0.170528
7.180148,0.199992
7.200248,0.183456
7.220181,0.148744
7.240274,0.104212
7.260128,0.060791
7.280160,0.028345
7.300018,0.021489
7.320210,0.027959
7.340156,0.039736
7.360144,0.054763
7.380076,0.073709
7.400063,0.084563
7.420163,0.078950
7.440421,0.153150
7.460055,0.225858
7.480276,0.119806
7.500301,0.062519
7.520093,0.058784
7.540114,0.061732
7.560183,0.044680
7.580156,0.038347
7.600131,0.048647
7.620153,0.050038
7.640016,0.068961
7.660094,0.094871
7.680087,0.099028
7.700142,0.104573
7.720005,0.092975
7.740253,0.120694
7.760013,0.261571
7.780152,0.173945
7.800156,0.164427
7.820132,0.193674
7.840189,0.177989
7.860152,0.151138
7.880099,0.110438
7.900301,0.064510
7.920106,0.029549
7.940098,0.024824
7.960046,0.034543
7.980021,0.045399
8.000252,0.059017
8.020122,0.075557
8.040129,0.083514
8.060126,0.074157
8.080078,0.163189
8.100116,0.220472
8.120129,0.117871
8.140019,0.065897
8.160021,0.057322
8.180226,0.047502
8.200495,0.046773
8.220314,0.048251
8.240177,0.053984
8.260074,0.058217
8.280636,0.071534
8.300395,0.090715
8.320303,0.089645
8.340287,0.094122
8.360101,0.081238
8.380181,0.110640
8.400226,0.263519
8.420057,0.158985
8.440106,0.170159
8.460016,0.201529
8.480151,0.185282
8.500226,0.155026
8.520016,0.110345
8.540148,0.062102
8.560010,0.028641
8.580051,0.029118
8.600276,0.035817
8.620040,0.043509
8.640027,0.054535
8.660027,0.068105
8.679997,0.072884
8.700211,0.062044
8.720087,0.152455
8.740133,0.220749
8.760006,0.117096
8.780030,0.066296
8.800005,0.059047
8.820048,0.046246
8.840043,0.032384
8.859990,0.041633
8.879999,0.054658
8.900167,0.120004
8.920168,0.195993
8.940186,0.262068
8.960194,0.248701
8.980045,0.191940
8.999965,0.137335
9.020188,0.130715
9.040167,0.139497
9.060224,0.076169
9.080143,0.077181
9.100100,0.093831
9.120126,0.087958
9.140141,0.065768
9.160026,0.034203
9.180161,0.015408
9.200156,0.020109
9.220039,0.028250
9.240070,0.036989
9.260007,0.045722
9.280106,0.052895
9.300028,0.050951
9.320146,0.067247
9.340289,0.108900
9.360170,0.243017
9.380371,0.298446
9.400140,0.321873
9.420063,0.303895
9.440127,0.269742
9.460114,0.219635
9.480108,0.169812
9.500191,0.124931
9.520128,0.096021
9.540013,0.076754
9.560234,0.063445
9.580180,0.058375
9.600264,0.066903
9.620166,0.073919
9.640077,0.068614
9.659998,0.115007
9.680003,0.167513
9.699996,0.093381
9.720038,0.033690
9.740096,0.055822
9.760016,0.050312
9.780073,0.041022
9.800010,0.044127
9.820020,0.059737
9.840099,0.072151
9.860002,0.088826
9.879989,0.103384
9.900034,0.093913
9.920003,0.064435
9.940153,0.151524
9.960145,0.301005
9.980128,0.162874
10.000082,0.191180
10.020045,0.208923
10.040217,0.182591
