t,err_weighted
6.379873,0.092917
6.399961,0.100761
6.419895,0.093855
6.439819,0.078537
6.460080,0.291278
6.480564,0.230718
6.499902,0.383003
6.519819,0.417445
6.539865,0.267862
6.559888,0.292119
6.579820,0.252485
6.599870,0.203205
6.620326,0.175307
6.640179,0.141223
6.660073,0.098376
6.679883,0.070310
6.700007,0.062033
6.719853,0.077969
6.739849,0.094168
6.759976,0.204358
6.779820,0.290168
6.799869,0.392799
6.819991,0.324483
6.839816,0.200731
6.859839,0.156700
6.879858,0.106949
6.899880,0.090334
6.919818,0.079426
6.939896,0.062827
6.959829,0.076362
6.979925,0.070366
7.000020,0.078974
7.020014,0.081387
7.040009,0.072989
7.060029,0.208121
7.079846,0.218854
7.099884,0.270594
7.119888,0.361584
7.139893,0.303060
7.159872,0.315734
7.179865,0.255640
7.199872,0.216329
7.219948,0.180161
7.239823,0.132739
7.259868,0.107509
7.279862,0.093103
7.299866,0.088601
7.319874,0.067906
7.340066,0.065693
7.359952,0.095624
7.379984,0.304216
7.399933,0.371280
7.419841,0.358398
7.439808,0.236471
7.459872,0.177833
7.480553,0.137447
7.499931,0.097621
7.519871,0.097764
7.540030,0.070615
7.559811,0.061014
7.579850,0.070427
7.599805,0.083125
7.620005,0.089409
7.639956,0.083809
7.659899,0.084427
7.679872,0.289904
7.699900,0.288590
7.719841,0.290086
7.739852,0.305380
7.759850,0.261783
7.779948,0.226532
7.799812,0.209881
7.819861,0.182353
7.839916,0.157554
7.859860,0.128215
7.879806,0.109200
7.899968,0.103255
7.919853,0.091841
7.939947,0.073938
7.960026,0.090975
7.979820,0.269732
8.000011,0.256444
8.020007,0.390101
8.039878,0.284251
8.060165,0.174801
8.079856,0.159234
8.100144,0.129291
8.119858,0.089987
8.139869,0.081691
8.159859,0.070032
8.179817,0.082516
8.199831,0.087711
8.219874,0.097181
8.239910,0.119543
8.260009,0.095648
8.280078,0.203616
8.300158,0.235880
8.320162,0.374723
8.339883,0.425559
8.359815,0.260476
8.379826,0.233788
8.399858,0.220363
8.419872,0.232918
8.439834,0.193261
8.459815,0.143803
8.480332,0.110976
8.499958,0.088558
8.519916,0.089977
8.539896,0.075556
8.559861,0.091042
8.579879,0.127416
8.599886,0.287430
8.619865,0.369795
8.641698,0.370632
8.660108,0.275220
8.679947,0.197501
8.699888,0.128334
8.719894,0.084543
8.739920,0.075749
8.759864,0.068354
8.780058,0.069096
8.799977,0.073823
8.820293,0.086330
8.839911,0.093166
8.859955,0.058541
8.879832,0.122234
8.899907,0.179175
8.919962,0.173155
8.939888,0.091523
8.959938,0.040521
8.979876,0.052530
8.999857,0.077364
9.019829,0.092262
9.039898,0.074703
9.060521,0.050206
9.080219,0.048132
9.099949,0.046732
9.119906,0.050397
9.139924,0.055553
9.159918,0.068929
9.179846,0.091335
9.199882,0.295566
9.219879,0.295395
9.239846,0.401942
9.259913,0.338857
9.280078,0.242513
9.299894,0.196964
9.319848,0.211436
9.339926,0.189590
9.359888,0.178170
9.379946,0.232555
9.399805,0.282659
9.419840,0.260541
9.439863,0.230239
9.459880,0.166224
9.480301,0.135367
9.500331,0.079597
9.519878,0.136050
9.540032,0.153785
9.559966,0.178320
9.579975,0.088049
9.599950,0.084571
9.620022,0.105367
9.639993,0.092925
9.659989,0.082063
9.679985,0.081725
9.700080,0.083336
9.720021,0.087963
9.739879,0.089159
9.759963,0.071965
9.780067,0.084397
9.800013,0.263364
9.820081,0.343185
9.840006,0.485203
9.859897,0.373682
9.879979,0.266687
9.900030,0.232055
9.919979,0.234897
9.940003,0.210288
9.959874,0.168670
9.980084,0.162912
9.999883,0.156270
10.020013,0.152990
10.039957,0.118977
10.060005,0.105682
10.079981,0.130811
10.100061,0.180089
10.120072,0.251057
10.140533,0.229783
10.160050,0.160322
10.179906,0.127419
10.199953,0.101733
10.219880,0.077938
10.239989,0.066394
10.260029,0.050964
10.280029,0.044288
10.299891,0.050517
10.320023,0.057729
10.339965,0.057682
10.359984,0.062354
10.379871,0.106829
10.399974,0.303452
10.419902,0.326124
10.439987,0.445403
10.459966,0.344664
10.480457,0.240309
10.499957,0.264732
10.519893,0.294884
10.540111,0.231828
10.559901,0.187793
10.579947,0.185247
10.599891,0.170246
10.619878,0.168421
10.639874,0.134886
10.660466,0.115167
10.680047,0.126049
10.699929,0.187890
10.719885,0.265536
10.739999,0.200762
10.759888,0.107166
10.780045,0.113256
10.799915,0.109041
10.819971,0.086476
10.839973,0.070790
10.859958,0.055280
10.880013,0.056300
10.899980,0.059774
10.919993,0.061689
10.940026,0.054083
10.959954,0.070879
10.979880,0.168422
11.000019,0.305177
11.019897,0.363679
11.039972,0.561852
11.059922,0.417019
11.079886,0.306554
11.100022,0.250771
11.119849,0.242280
11.139821,0.207506
11.159819,0.178587
11.180038,0.177696
11.199967,0.168596
11.219989,0.165706
11.239980,0.132193
11.259997,0.125685
11.279957,0.129618
11.299962,0.210417
11.320035,0.320091
11.339999,0.227464
11.359892,0.120702
11.380111,0.171655
11.400003,0.179673
11.419905,0.154362
11.439998,0.122501
11.460037,0.126161
11.480355,0.149779
11.500221,0.197262
11.519898,0.191943
11.539989,0.238786
11.560058,0.289946
11.579999,0.458101
11.599965,0.456584
11.619883,0.425496
11.639882,0.314024
11.660089,0.240929
11.680044,0.215375
11.700026,0.190541
11.719963,0.135267
11.740003,0.083747
11.759971,0.084770
11.780008,0.120474
11.799983,0.155884
11.820000,0.188146
11.840023,0.281144
11.860017,0.161569
11.879955,0.159966
11.899967,0.121585
11.919995,0.062841
11.939971,0.056291
11.960019,0.065358
11.979998,0.081036
12.000064,0.083049
12.020102,0.066488
12.040008,0.040116
12.059912,0.031169
12.079973,0.046889
12.100021,0.072817
12.119991,0.089542
12.139887,0.044289
12.159855,0.105350
12.180029,0.106137
12.200060,0.109834
12.219885,0.142372
12.239869,0.178618
12.259905,0.314507
12.279954,0.316473
12.299962,0.271565
12.319887,0.247268
12.339967,0.241816
12.359865,0.247333
12.379831,0.253259
12.399998,0.233653
12.420126,0.211536
12.439993,0.211265
12.460003,0.203852
12.480273,0.181334
12.499928,0.117988
12.519895,0.102277
12.539892,0.183365
12.560040,0.195459
12.579986,0.139643
12.599871,0.107155
12.620033,0.091036
12.640097,0.069431
12.659983,0.055118
12.680464,0.051020
12.699958,0.058644
12.720008,0.042756
12.739969,0.086967
12.759859,0.064088
12.779957,0.080467
12.799843,0.300497
12.819902,0.271537
12.839797,0.429374
12.859843,0.472689
12.879909,0.280829
12.899796,0.209941
12.919830,0.264180
12.940056,0.268632
12.959831,0.188085
12.979888,0.140088
13.000071,0.136722
13.019870,0.133386
13.039813,0.128206
13.059917,0.091100
13.079976,0.068167
13.099839,0.190431
13.119870,0.141294
13.139890,0.230127
13.159857,0.181557
13.179848,0.101393
13.199913,0.104515
13.219812,0.090447
13.239918,0.075156
13.260082,0.070150
13.279813,0.045993
13.299890,0.057547
13.319892,0.068048
13.339890,0.093115
13.359864,0.070004
13.379875,0.087645
13.399860,0.241709
13.419900,0.245643
13.439816,0.405726
13.459808,0.545533
13.480179,0.431812
13.499924,0.353429
13.519858,0.273938
13.539880,0.280638
13.560000,0.252252
13.579872,0.187549
13.599844,0.166747
13.619915,0.162237
13.639998,0.164226
13.659828,0.132376
13.679955,0.114350
13.699851,0.115593
13.720034,0.215116
13.740004,0.331953
13.759862,0.191264
13.779993,0.130869
